,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
34,5,11.33882,7.969317,34201,6693,4670,1443,0.15712591908310883,0.4510448926273638
35,6,12.823975,7.944283,34201,6693,41335,6652,0.0,0.4530587824415052
36,7,9.370797999999999,7.939961,34201,6693,1405,590,0.33501049075718015,0.4534062786515013
37,8,12.532775,7.936435,34201,6693,20379,10591,0.028509865005824777,0.45368973324245787
38,9,9.342805,7.936435,34201,6693,664,390,0.3373975835877482,0.45368973324245787
39,10,8.016469,7.211303999999999,34201,6693,35801,7007,0.44724651870125737,0.5112088318328768
40,11,13.218357000000001,7.210632,34201,6693,13429,2756,0.0,0.5112614425284425
41,12,9.926867,7.177751,34201,6693,15138,2631,0.28690429569172404,0.5138341603413827
42,13,12.981615,7.17245,34201,6693,27497,6480,0.0,0.5142486483298672
43,14,13.9365,7.166011,34201,6693,39151,6765,0.0,0.5147520128188987
44,15,9.715701,7.0875710000000005,34201,6693,52124,8676,0.30533246324721247,0.5208748454303
45,1,10.21295,10.21295,9811,6809,1272,557,0.2632242367458002,0.2632242367458002
46,2,8.932625,10.140685000000001,9811,6809,512,285,0.3733273629833018,0.26963536580263703
47,3,13.595185999999998,10.478491,9811,6809,24974,3670,0.0,0.2394254423240392
48,4,15.02696,10.49691,9811,6809,36929,5829,0.0,0.23775990506088404
49,5,12.979978,10.470191,9811,6809,15564,3715,0.0,0.24017532010009407
50,6,14.9156,10.470697999999999,9811,6809,35369,5668,0.0,0.2401295258364041
51,7,14.384572,10.472241,9811,6809,29881,7601,0.0,0.23999014670077712
52,8,13.301893,10.450388,9811,6809,18290,5025,0.0,0.24196283801135088
53,9,14.714334,10.376378,9811,6809,38840,4699,0.0,0.24862346516417813
54,10,13.226222,10.3637,9811,6809,18380,3489,0.0,0.24976133917757068
55,11,14.181389000000001,10.363397,9811,6809,23277,5627,0.0,0.24978852303604804
56,12,11.158121000000001,10.360561,9811,6809,2879,1033,0.1764883258494036,0.2500429320385018
57,13,12.308242,10.360561,9811,6809,5988,3887,0.058655089229418735,0.2500429320385018
58,14,13.8999,10.382169000000001,9811,6809,34570,6661,0.0,0.24810341352566082
59,15,13.546263,10.249363,9811,6809,32212,3916,0.0,0.2599834915846497
75,1,9.408294,9.408294,17187,4063,20966,4526,0.2873696170077433,0.2873696170077433
76,2,9.573846000000001,9.151885,17187,4063,18967,4387,0.2717841692496448,0.3111986765700682
77,3,12.202029,9.020292999999999,17187,4063,39837,6789,0.0,0.32329115666181624
78,4,11.220547,8.920529,17187,4063,39768,6971,0.10425067184247379,0.33240022438139205
79,5,9.432929,8.594988,17187,4063,30794,6260,0.28506071683484374,0.3617914522516864
80,6,10.254412,8.505624000000001,17187,4063,31183,3828,0.20578156121416816,0.36977468085669224
81,7,9.891782000000001,8.472389,17187,4063,25047,4274,0.24136673385775131,0.3727347164291754
82,8,9.185103999999999,8.425102,17187,4063,10222,2406,0.3081317551910302,0.3769380065420879
83,9,9.391253,8.326929,17187,4063,32835,4963,0.28896471734542356,0.3856339199917237
84,10,10.579015,8.236945,17187,4063,26031,6596,0.1729549507702069,0.3935688721969452
85,11,8.027175999999999,8.210994,17187,4063,2818,1262,0.4119382767288152,0.3958510532877283
86,12,10.817926,8.191919,17187,4063,21628,3476,0.14806772457592468,0.39752678605122416
87,13,9.395046,8.123744,17187,4063,22395,3999,0.28860982341693747,0.4035038500942268
88,14,11.793288,8.115333999999999,17187,4063,27411,4413,0.034162842045707395,0.4042398746260915
89,15,10.681887,8.04611,17187,4063,53047,7375,0.1623231656065472,0.41028746621148104
90,1,14.480777,14.480777,23112,3950,37544,4884,0.0,0.0
91,2,13.279604,13.564206,23112,3950,22257,4354,0.0,0.0
92,3,11.180083999999999,11.60173,23112,3950,21037,3584,0.10470315316558707,0.054452594574753044
93,4,7.403792,7.6517610000000005,23112,3950,14299,2099,0.463676518606435,0.44243817576410743
94,5,9.061845,7.648542999999999,23112,3950,1176,561,0.3169290310804568,0.44271524499063597
95,6,8.343003,7.413889999999999,23112,3950,14562,6367,0.3819869550258254,0.4628160004808624
96,7,7.918094,7.4047350000000005,23112,3950,818,406,0.4193708443275923,0.46359617476441556
97,8,13.175324,7.4047350000000005,23112,3950,10762,7131,0.0,0.46359617476441556
98,9,14.440184,7.395569,23112,3950,36594,5258,0.0,0.46437698515615905
99,10,13.241672,7.368613000000001,23112,3950,54326,5528,0.0,0.4666715027674999
100,11,12.770251,7.368613000000001,23112,3950,6986,3862,0.0,0.4666715027674999
101,12,8.444329,7.240947,23112,3950,12039,3367,0.37296053514127914,0.4775034877769491
102,13,11.905955,7.229242999999999,23112,3950,20679,4337,0.010492612388001862,0.47849365512396536
103,14,12.49657,7.212861999999999,23112,3950,20782,4022,0.0,0.47987869572452924
104,15,6.9415,7.18245,23112,3950,1466,437,0.5026880595172518,0.4824475986552058
105,1,14.629384,14.629384,19735,4565,32417,4363,0.0,0.0
106,2,8.092221,8.145012,19735,4565,26459,5785,0.41484040391893995,0.41030755774800765
107,3,8.434738000000001,8.140378,19735,4565,421,263,0.3852395281274686,0.4107058725689307
108,4,8.070164,7.848911,19735,4565,11099,3001,0.4167312050646826,0.4355984916752471
109,5,8.354946,7.7436,19735,4565,9180,2354,0.39217621606516856,0.4445167378526606
110,6,11.049619999999999,7.72675,19735,4565,10890,2472,0.1388300555808226,0.4459400318764135
111,7,7.400678,6.971782000000001,19735,4565,34038,5562,0.47328941926292845,0.5087232017704665
112,8,7.778839,6.965696,19735,4565,1292,666,0.44153691437373604,0.509221732767883
113,9,12.038996000000001,6.965696,19735,4565,4235,2460,0.02232581450631905,0.509221732767883
114,10,8.20353,6.951915,19735,4565,3649,1081,0.4052706274803612,0.5103501609411659
115,11,6.729964999999999,6.935014,19735,4565,1511,765,0.5284418242072367,0.5117332426952326
116,12,7.877064,6.751614,19735,4565,41517,5117,0.43320764823393626,0.5266839301210336
117,13,10.321771,6.748003999999999,19735,4565,2884,1761,0.21224464355198241,0.5269771622630112
118,14,7.103516,6.64842,19735,4565,9827,2420,0.4979033422335095,0.5350502596189072
119,15,9.410152,6.6407229999999995,19735,4565,8516,2264,0.29820609392027025,0.5356729696376281
120,1,10.814633,10.814633,23943,5690,2877,1040,0.18910824958791553,0.18910824958791553
121,2,13.751517000000002,10.962525999999999,23943,5690,40923,5731,0.0,0.17475637351222653
122,3,13.232375,10.872810000000001,23943,5690,36697,6879,0.0,0.18348565865098623
123,4,15.159432,10.872810000000001,23943,5690,36629,6499,0.0,0.18348565865098623
