,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
23,9,11.004143,7.219494,41683,5218,22033,8965,0.16033444033177932,0.4963535517080688
24,10,8.326908999999999,7.187678,41683,5218,4480,2686,0.40453777803295793,0.49893279437973925
25,11,9.027493,7.083187,41683,5218,26149,12283,0.3441794654755937,0.5073818195750416
26,12,8.007760000000001,7.0829949999999995,41683,5218,287,238,0.43142197601183624,0.5073973138779381
27,13,12.118375,7.070958,41683,5218,20954,8800,0.03727187895565475,0.5083684705223812
28,14,8.878672,6.9999009999999995,41683,5218,25453,10847,0.3571654505739537,0.5140924919412814
29,15,7.657334,6.857603999999999,41683,5218,14832,8197,0.4605369138234496,0.5255097388395757
30,1,12.12021,12.12021,34201,6693,33171,14429,0.07710935067622096,0.07710935067622096
31,2,8.709304,8.57907,34201,6693,31513,16686,0.39062253995823804,0.4013864140947029
32,3,7.698594,8.394788,34201,6693,2378,1754,0.47272388701120766,0.4165202218894185
33,4,12.424710000000001,8.338482,34201,6693,32083,13775,0.04214081434857845,0.4211220507226549
34,5,11.211433999999999,8.294785000000001,34201,6693,22769,11238,0.16943316087255905,0.4246863188879772
35,6,8.795932,8.278902,34201,6693,2841,1993,0.3834304006287121,0.4259803455706549
36,7,8.617005,7.93354,34201,6693,32065,16658,0.3982570278768682,0.45392243374028546
37,8,9.110791,7.838172999999999,34201,6693,27733,13827,0.35706411085776973,0.46157394755110176
38,9,13.115718,7.828894,34201,6693,30845,11915,0.0,0.4623169694518025
39,10,14.230974,7.828125,34201,6693,21862,9214,0.0,0.4623785361106362
40,11,13.662859,7.824213,34201,6693,22969,9311,0.0,0.4626917062062883
41,12,12.649381,7.806172,34201,6693,30214,11777,0.012018906359129358,0.464135366049818
42,13,8.282167,7.7063440000000005,34201,6693,12507,7627,0.4257144038051459,0.47210630169479995
43,14,12.063492,7.703817,34201,6693,10738,5071,0.08328230809155615,0.47230769368361386
44,15,9.46987,7.657107000000001,34201,6693,34343,15353,0.32653667233449707,0.4760269348682241
45,1,13.807607999999998,13.807607999999998,9811,6809,32284,14232,0.0,0.0
46,2,13.794801000000001,13.740188,9811,6809,31023,12718,0.0,0.0
47,3,13.770828,13.639401000000001,9811,6809,28409,14371,0.0,0.0
48,4,13.760591,13.586148000000001,9811,6809,30622,15098,0.0,0.0
49,5,14.179501,13.582298999999999,9811,6809,26988,10844,0.0,0.0
50,6,13.898833999999999,13.558724,9811,6809,18995,8108,0.0,0.0
51,7,13.949963,13.55606,9811,6809,18042,7937,0.0,0.0
52,8,14.012066,13.520126000000001,9811,6809,34202,12816,0.0,0.0
53,9,13.897464000000001,13.473134,9811,6809,33243,14506,0.0,0.0
54,10,7.241434,13.471778,9811,6809,155,113,0.5098010148951363,0.0
55,11,13.634923,13.45164,9811,6809,26402,13153,0.0,0.0
56,12,13.78227,13.424358999999999,9811,6809,29444,14882,0.0,0.0
57,13,14.188897,13.423051999999998,9811,6809,29117,11674,0.0,0.0
58,14,12.879793,12.755355,9811,6809,25746,13070,0.0,0.0
59,15,13.741794,12.743094000000001,9811,6809,31664,14981,0.0,0.0
75,1,9.789581,9.789581,17187,4063,25245,11432,0.25121813904657936,0.25121813904657936
76,2,11.295499000000001,9.635477999999999,17187,4063,14026,6430,0.09575042774223905,0.2659393207379297
77,3,10.511938,9.46914,17187,4063,21555,8919,0.17982429242778433,0.2816604182176067
78,4,9.801245,9.213705000000001,17187,4063,24943,10262,0.25009746995700205,0.3054864682485259
79,5,9.732284,9.072897,17187,4063,24948,10373,0.25670986685595204,0.31846790185120116
80,6,10.546344,9.002199000000001,17187,4063,29201,11537,0.17630677742626905,0.32494694458258233
