,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
75,1,6.873574,6.873574,6.065791,0.5228400150231355,0.586794173447133
76,2,8.0107,6.579499,5.962768,0.5463423734074423,0.594816205875467
77,3,7.448421,6.346297,5.837026,0.5647997032543165,0.6045668770395779
78,4,7.31413,6.14403,5.73874,0.5806819594199434,0.6121576880412443
79,5,12.633156,6.136606,5.734694,0.5812626842677169,0.6124695910756436
80,6,7.615148,6.112127,5.722308,0.5831763891902974,0.6134241350262668
81,7,7.949394,6.044575,5.676411,0.5884486337175115,0.6169575292050326
82,8,7.860556,5.98935,5.636458,0.5927492219203734,0.6200285572979265
83,9,7.751742,5.935379,5.603436,0.5969438640348705,0.6225634830932587
84,10,7.147178,5.934914,5.603039,0.5969799684195672,0.6225939403047368
85,11,7.460217,5.899121,5.577832,0.5997572540356672,0.624526887002793
86,12,9.998914,5.882173,5.565342,0.6010710471663387,0.6254840045543617
87,13,10.035658,5.874474,5.561056,0.6016676007465116,0.6258123441981518
88,14,7.332684,5.810882,5.510053,0.606588658259178,0.6297156524310916
89,15,7.529958,5.788939,5.495992,0.6082840925221056,0.630790488675741
90,1,7.374918,7.374918,2.809583,0.4700781539937612,0.8225822001118722
91,2,6.88197,6.611194,2.781678,0.5334835758878599,0.8245394142220219
92,3,6.620704,6.421628,2.766277,0.5489291603995033,0.8256184725812736
93,4,13.800857,6.414277,2.765413,0.5495258420009451,0.825678983858705
94,5,14.063962,6.406981,2.764469,0.5501178927793762,0.8257450950938955
95,6,7.858493,6.206621,2.750667,0.56631212573222,0.8267113410842143
96,7,8.916943,6.157813,2.746312,0.5702383508372734,0.8270160881280881
97,8,7.875579,6.074835,2.739392,0.5768965915367432,0.827500189753035
98,9,8.126556,6.031858,2.733246,0.5803368773934592,0.8279300058926451
99,10,8.654819,6.011234,2.730463,0.5819858286531256,0.8281245900106045
100,11,11.180837,6.006999,2.729881,0.5823242703184648,0.8281652793811943
101,12,6.712851,5.75277,2.722094,0.6025421037159808,0.8287095790467957
102,13,8.799876,5.738068,2.719658,0.6037053687841275,0.8288798086273159
103,14,11.159271,5.731364,2.718728,0.6042355946186977,0.8289447923215678
104,15,11.340049,5.726881,2.718091,0.6045900845989081,0.8289893009261042
105,1,7.345116,7.345116,6.48393,0.4738405937118893,0.5449115930998368
106,2,8.599382,7.417269,6.319725,0.46777446212415263,0.5581950250923454
107,3,13.605593,7.405382,6.314828,0.4687750738991116,0.5585898943676955
108,4,12.255352,7.360594,6.286363,0.4725408169577102,0.5608837124470955
109,5,12.454093,7.345778,6.278167,0.47378501856333444,0.5615437173350791
110,6,14.713908,7.345562,6.278005,0.4738031520093475,0.5615567607487327
111,7,7.285101,6.538605,5.877572,0.5404700894776473,0.5935544959175706
112,8,12.039729,6.523887,5.868077,0.5416666174834729,0.5943073725412779
113,9,14.635265,6.523618,5.867828,0.5416884800625653,0.5943271126078614
114,10,9.853484,6.488518,5.849107,0.5445392464226779,0.5958107351290627
115,11,13.104332,6.4809,5.843268,0.545157461844961,0.5962732570442478
116,12,7.562326,6.336741,5.744996,0.5568223688898585,0.6040424198410785
117,13,7.767723,6.298708,5.721197,0.5598892101529169,0.605919604733061
118,14,7.88201,6.221168,5.669512,0.5661280388305646,0.6099905695432434
119,15,8.545868,6.207854,5.659614,0.5671974314269691,0.6107692836861788
120,1,7.178478,7.178478,6.445987,0.48210846257754075,0.5431251731189587
121,2,11.129356,7.088804,6.421252,0.4896756279022755,0.5451547560853759
122,3,7.660866,6.713976,6.27226,0.5210087265605359,0.5573386170086372
123,4,11.221847,6.654526,6.241377,0.5259352236055527,0.5598552495199017
124,5,8.576014,6.507773,6.152045,0.5380468342932785,0.5671178912971411
125,6,10.181738,6.469721,6.125787,0.5411758752233531,0.5692478772030204
126,7,11.989224,6.456226,6.115623,0.5422844559404978,0.570071775855373
127,8,9.675601,6.389738,6.069532,0.547737732760964,0.573803875229595
128,9,11.531871,6.375359,6.058892,0.5489152196962171,0.5746644781982051
129,10,9.754364,6.335075,6.025985,0.5522105329005749,0.5773238839855043
130,11,9.405958,6.292986,5.993382,0.5556479758353695,0.5799553955576402
131,12,9.403843,6.253581,5.961061,0.5588611155654583,0.5825608846683631
132,13,8.663493,6.251065,5.958956,0.5590661066883938,0.5827304623293683
133,14,7.901195,6.234213,5.948349,0.5604386072523608,0.5835847474413722
134,15,7.690293,6.115108,5.871354,0.5701135133808284,0.5897754656548722
135,1,8.29565,8.29565,7.081377,0.40154279300783724,0.5030642453001412
136,2,7.970131,7.51283,6.742896,0.4675624585843024,0.530505542727004
137,3,7.50083,7.309615,6.661897,0.4843585294524285,0.5370204106029772
138,4,11.471371,7.249859,6.637874,0.48927198607553685,0.5389488177138154
139,5,11.185191,7.188056,6.609093,0.49434174434469996,0.541256886784897
140,6,8.717069,7.09163,6.552383,0.5022274758432823,0.5457974527707076
141,7,7.760721,7.014132,6.503731,0.5085441030561237,0.549685210125251
142,8,7.931325,6.952397,6.460234,0.5135625540095876,0.5531550890597
143,9,8.180187,6.79442,6.366712,0.5263510645921495,0.5605966890103434
144,10,13.130952,6.786127,6.36132,0.5270202893094199,0.561024949121052
145,11,11.786037,6.772599,6.351447,0.5281115170300981,0.5618088919929154
146,12,8.740288,6.700024,6.307091,0.5339562654670857,0.565327354561566
147,13,12.229306,6.692193,6.302842,0.5345859751630061,0.5656640969729062
148,14,7.915546,6.657322,6.275948,0.5373877948559506,0.5677942812954151
149,15,8.529449,6.592872,6.23558,0.542556624430031,0.570987737391151
150,1,10.322779,10.322779,7.255498,0.20022433856173422,0.4787681387696956
151,2,10.55918,9.510258,7.13113,0.2788698827229925,0.48920919692279213
152,3,12.501738,9.408204,7.09257,0.2884368925727855,0.4924357317420881
153,4,8.330016,7.795106,6.750799,0.43283609103745546,0.5208170273966032
154,5,14.238359,7.78033,6.743878,0.4341079477745388,0.5213877976736843
155,6,9.9144,7.594405,6.661209,0.45004247148012977,0.5281934828985241
156,7,7.829444,7.584527,6.659262,0.45088551522545706,0.5283535032340356
157,8,15.332986,7.581144,6.657835,0.45117415812910167,0.5284707779928162
158,9,8.443515,7.472078,6.636466,0.4604577783444673,0.530226158664717
159,10,8.975073,7.430039,6.615272,0.46402477189878333,0.5319657174557008
