,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
3765,1,6.623911,6.623911,6.131299,0.5393354394447526,0.5785564816299166
3766,2,6.826112,6.262245,5.958964,0.5682005203956602,0.5921098439002088
3767,3,6.847718,5.996979,5.810948,0.5891275129793055,0.6036823533553345
3768,4,7.298855,5.861609,5.74244,0.5997285347543381,0.6090173685419071
3769,5,8.810617,5.795465,5.695088,0.6048892537817012,0.6126970525032063
3770,6,7.413753,5.727832,5.646616,0.6101532251118209,0.6164571622976348
3771,7,6.867107,5.640881,5.57788,0.6169016006541228,0.6217777671290453
3772,8,11.577511,5.630608,5.570772,0.6176974813840019,0.6223272071370209
3773,9,8.207856,5.589924,5.540946,0.6208464532169534,0.6246311611487841
3774,10,6.550457,5.523136,5.493665,0.626005719999625,0.628278292167605
3775,11,7.049507,5.467725,5.444943,0.630276548888395,0.6320299643580519
3776,12,7.140808,5.437942,5.423211,0.6325685014497936,0.6337012003840723
3777,13,7.234937,5.406155,5.396555,0.6350119083607315,0.6357492815619422
3778,14,6.7971,5.354901,5.350744,0.6389457017445109,0.6392644306450689
3779,15,7.875727,5.348802,5.345508,0.6394133125597853,0.6396658201884767
3780,1,6.897591,6.897591,6.067477,0.5089598956255235,0.5766747851934212
3781,2,7.709416,6.615081,5.964801,0.5322503266832387,0.5849012242860318
3782,3,9.302081,6.528378,5.918237,0.5393467640170113,0.5886213805428557
3783,4,7.506755,6.391613,5.844049,0.5504923198092809,0.5945349457318062
3784,5,9.025773,6.330556,5.809278,0.5554491648155645,0.5973008392642958
3785,6,7.138011,6.164426,5.72928,0.5688776126160894,0.6036505376134003
3786,7,7.236171,6.147738,5.719634,0.570221808947643,0.6044148724630531
3787,8,7.016865,6.048151,5.651454,0.5782256476379676,0.609809401935909
3788,9,7.942595,5.986726,5.614781,0.5831472814104426,0.612705284062129
3789,10,8.609612,5.966513,5.600922,0.584764321339753,0.6137986131459429
3790,11,9.125987,5.934537,5.578472,0.5873198664247511,0.6155684648578851
3791,12,12.652534,5.917704,5.564672,0.5886639256584099,0.6166556452615857
3792,13,7.372605,5.835552,5.502755,0.5952111846550427,0.6215265545793763
3793,14,7.057723,5.749291,5.457127,0.6020640045877331,0.6251087331110696
3794,15,11.300055,5.746542,5.455241,0.6022820249388918,0.6252566666531277
3795,1,10.349348,10.349348,6.471303,0.2701166788969164,0.578607500527664
3796,2,11.281055,9.691094,6.344329,0.3259543793553888,0.5880048854763116
3797,3,8.21031,7.572311,5.961059,0.4954557249005772,0.6161369782411646
3798,4,11.932021,7.497164,5.931681,0.5012288098749856,0.6182789270069474
3799,5,9.691135,7.402127,5.901744,0.5085088567665306,0.6204595319256295
3800,6,8.27777,6.958459,5.776841,0.5421894303838766,0.6295345948276546
3801,7,8.101267,6.647302,5.664888,0.5655173503770488,0.6376374803117939
3802,8,8.276648,5.978594,5.311429,0.6148575284079985,0.6630264282805597
3803,9,13.284333,5.955858,5.299604,0.6165163317471697,0.6638707389288637
3804,10,5.447976,5.955858,5.299604,0.6165163317471697,0.6638707389288637
3805,11,9.944339,5.905256,5.27571,0.6202038282991297,0.6655757782425693
3806,12,15.30885,5.905179,5.27565,0.6202094348701255,0.6655800580604923
3807,13,7.596257,5.895037,5.26869,0.6209477778521548,0.6660764594714903
3808,14,8.712321,5.858571,5.247717,0.6236005136334732,0.667571607543334
3809,15,7.473714,5.857294,5.2471,0.6236933526462887,0.6676155772998638
3810,1,11.786631,11.786631,9.704313,0.08455310296809745,0.28834952785235635
3811,2,12.13518,11.225432,9.555499,0.1439538903002816,0.3016820332120323
3812,3,11.89985,11.193756,9.543445,0.1471647593993357,0.30275718244754857
3813,4,12.689004,11.161751,9.528214,0.15039684546393944,0.30411469591364754
3814,5,11.193609,10.492706,9.253128,0.21565013634391533,0.32844532573413043
3815,6,13.540258,10.464446,9.238093,0.21832444687095884,0.32976521521708185
3816,7,11.467326,10.226198,9.111345,0.24065169951732873,0.3408529190082952
3817,8,10.469555,10.166325,9.070979,0.24620442468201356,0.3443695914915073
3818,9,13.281414,10.165123,9.070057,0.2463156719577408,0.3444498353590637
3819,10,11.435461,9.984738,8.960846,0.2629123494331677,0.3539296393663693
3820,11,13.837443,9.944101,8.940227,0.26662512947436545,0.3557139012635758
3821,12,12.06924,9.930988,8.930187,0.2678212094822136,0.3565820836194658
3822,13,12.658818,9.927738,8.929298,0.26811750423399655,0.35665893778244456
3823,14,12.555394,9.906539,8.920151,0.2700487266824237,0.3574495107738445
3824,15,11.767438,9.813439,8.875633,0.27850099592338345,0.36129236348331845
3825,1,7.713851,7.713851,6.336837,0.43807000157346176,0.5533709670308627
3826,2,9.844182,7.31162,6.151399,0.47242367498942284,0.5684217916527824
3827,3,13.872012,7.309766,6.150738,0.47258067731395836,0.5684752486307946
3828,4,8.518618,6.905849,6.000339,0.5065027521667772,0.5806032339687367
3829,5,7.915748,6.785168,5.954939,0.5165310368957753,0.5842505126202279
3830,6,7.757092,6.389617,5.777649,0.5490673854516314,0.5984328941767004
3831,7,11.862296,6.370827,5.769362,0.5506004963925342,0.5990934698613039
3832,8,9.615498,6.323906,5.74507,0.5544239946098974,0.6010286376261826
3833,9,9.018353,6.280305,5.718366,0.5579707329544236,0.603153883888553
3834,10,5.087463,6.280305,5.718366,0.5579707329544236,0.603153883888553
3835,11,14.713634,6.279798,5.718172,0.55801193988811,0.6031693155214994
3836,12,12.077447,6.256497,5.701693,0.559904881464888,0.6044797126907019
3837,13,11.94591,6.251253,5.698533,0.5603306621634548,0.604730899335553
3838,14,12.089624,6.244566,5.695509,0.5608734806302506,0.6049712470764819
3839,15,7.984384,6.150454,5.644914,0.5684982161131555,0.6089884336130615
3840,1,6.96264,6.96264,6.301263,0.49412948398087275,0.5496439335596186
3841,2,8.243176,6.713032,6.168239,0.5152573227115351,0.5606316711748734
3842,3,7.015576,6.474258,6.025407,0.5352668557874237,0.5723650458796912
3843,4,9.880668,6.402155,5.988348,0.5412712540189369,0.5753985443635572
3844,5,7.242975,6.33873,5.946506,0.5465386261218971,0.5788182258440729
3845,6,6.964855,6.279434,5.898702,0.5514510021682617,0.5827182680015008
3846,7,11.305097,6.248866,5.879772,0.553978865061417,0.5842606228457266
3847,8,7.4129,6.109338,5.792237,0.5654783279347615,0.5913777578795754
3848,9,7.266334,6.044181,5.746132,0.5708265855324166,0.5951165357255492
3849,10,7.503474,5.970169,5.694088,0.5768849798518956,0.5993287910770664
3850,11,8.27536,5.970169,5.694088,0.5768849798518956,0.5993287910770664
3851,12,8.298446,5.96816,5.692592,0.5770491835260135,0.5994497446845948
3852,13,11.776464,5.953757,5.680408,0.5782260174925916,0.6004345728554413
3853,14,7.663785,5.895615,5.638176,0.5829698652502144,0.6038445250956482
3854,15,7.11897,5.840281,5.59432,0.5874745209724064,0.6073796264734453
3855,1,8.784478,8.784478,6.739233,0.3609456164659306,0.5320028218329613
3856,2,6.246123,8.338385,6.724476,0.39952002173386775,0.5331873545245525
3857,3,8.360326,7.49395,6.527371,0.470528891538373,0.5489466083489611
3858,4,7.046765,7.412543,6.498674,0.47724626004154674,0.5512314491467355
3859,5,13.44609,7.370534,6.484874,0.4807042719160084,0.5523293361405188
3860,6,7.611184,7.225085,6.436603,0.49263340228813435,0.5561652392027767
3861,7,7.71408,6.853722,6.297488,0.5227906208250175,0.5671821087126594
3862,8,9.067362,6.757751,6.245202,0.5305154724742727,0.5713082471471606
3863,9,10.043976,6.692151,6.198878,0.5357797785379862,0.5749573017176729
3864,10,8.232913,6.608571,6.152426,0.5424683438254921,0.5786102370635136
3865,11,8.079428,6.506566,6.089124,0.5506033335554339,0.5835782708957598
3866,12,10.436387,6.471861,6.066971,0.5533640995717114,0.585314161799253
3867,13,8.748233,6.439768,6.04953,0.5559139383875182,0.5866798379280337
3868,14,15.097367,6.439051,6.048961,0.5559708707130757,0.5867243774970646
3869,15,8.548607,6.394714,6.01813,0.5594884658060735,0.5891363527787212
3870,1,12.214122,12.214122,6.309497,0.0712316830134676,0.5821008336455014
3871,2,7.655935,7.686133,6.15083,0.4755427130522417,0.5940615800616863
3872,3,14.576502,7.671645,6.14642,0.47669127505983994,0.594393101534678
3873,4,13.907683,7.67006,6.145736,0.47681689206360417,0.5944445167635302
3874,5,7.972689,7.062369,5.969808,0.5244578447771487,0.6076293623229745
3875,6,7.680407,6.937492,5.928742,0.5341223584512693,0.6106957687976031
3876,7,13.64638,6.936335,5.928166,0.5342117059400998,0.6107387485842889
3877,8,14.306467,6.930965,5.925829,0.5346263488834545,0.6109131215333735
3878,9,7.424444,6.60677,5.778774,0.5595175760861816,0.6218578343977069
3879,10,7.777068,6.478944,5.711967,0.5692562459538395,0.6268120635975191
3880,11,14.610977,6.477093,5.710852,0.5693969569236033,0.626894654062917
3881,12,14.532701,6.475677,5.709969,0.5695045936966919,0.6269600575746003
3882,13,9.818861,6.475677,5.709969,0.5695045936966919,0.6269600575746003
3883,14,10.559415,6.460333,5.701139,0.5706706305709207,0.6276139852081576
3884,15,14.14376,6.459567,5.70069,0.5707288252863574,0.6276472318001295
3885,1,7.06071,7.06071,6.267248,0.5110076343982849,0.5737787662108463
3886,2,9.160441,7.003219,6.257896,0.5156172988517842,0.5745079077707934
3887,3,7.245295,6.599157,6.076471,0.5477414903952798,0.5886047354025234
3888,4,9.244036,6.536642,6.048626,0.552669478097988,0.5907602219720802
3889,5,7.113627,6.218252,5.872923,0.5775960932802137,0.6043121119603101
3890,6,6.745375,6.197452,5.859145,0.5792146162427556,0.6053712146699189
3891,7,6.712581,6.079848,5.781414,0.5883431753577352,0.6113365877425389
3892,8,9.285785,6.043111,5.75648,0.5911868847852737,0.6132466175842534
3893,9,6.685505,6.024658,5.746808,0.5926138729277963,0.6139870688561244
3894,10,8.264287,6.020159,5.743967,0.5929616423307098,0.6142045164088548
3895,11,7.239602,5.940237,5.686736,0.599130253719055,0.6185802357502697
3896,12,6.92274,5.801503,5.579798,0.6097964656030682,0.6267325056526822
3897,13,7.172686,5.765052,5.553424,0.6125901645793874,0.6287383118222944
3898,14,5.184003,5.764633,5.553345,0.6126222567163068,0.628744317125067
3899,15,7.051952,5.708073,5.507937,0.6169499136566741,0.6321932711544209
3900,1,8.012585,8.012585,5.909984,0.4370281144425759,0.6039518630925752
3901,2,7.760755,7.800367,5.876751,0.45447677167162587,0.6064900577959084
3902,3,12.183823,7.726032,5.856495,0.46055437021903817,0.6080356679616761
3903,4,14.754763,7.703584,5.847046,0.4623862681322624,0.6087562856862963
3904,5,8.063717,7.226548,5.725116,0.5009475636556109,0.6180336629672813
3905,6,15.736005,7.225337,5.724603,0.5010445795218943,0.6180726118629448
3906,7,8.174408,7.015344,5.679064,0.5178022750750536,0.6215273011540665
3907,8,14.240396,7.014466,5.678584,0.5178720699273631,0.6215636855010924
3908,9,8.202504,6.975367,5.6682,0.520977901172361,0.622350649551002
3909,10,14.927981,6.972491,5.666736,0.521206181664342,0.6224615774069421
3910,11,12.214386,6.927406,5.64658,0.5247816510361182,0.6239882237227066
3911,12,8.420095,6.863196,5.625739,0.5298637360674351,0.6255656128036695
3912,13,13.567362,6.863196,5.625739,0.5298637360674351,0.6255656128036695
3913,14,14.051657,6.863003,5.625739,0.5298789937891565,0.6255656128036695
3914,15,13.28306,6.844028,5.615949,0.5313785528310278,0.6263061868002863
3915,1,7.296639,7.296639,6.769522,0.49207475790329386,0.5343340366069458
3916,2,11.018193,7.176498,6.731444,0.5017796656976555,0.5373550578708407
3917,3,9.848579,7.025892,6.655354,0.5138839790830432,0.5433793159702974
3918,4,7.885439,6.869754,6.578169,0.5263617097151484,0.5494732696451995
3919,5,8.240004,6.787662,6.529001,0.5328933719298916,0.5533463307519766
3920,6,7.867718,6.529116,6.330703,0.5533372800092236,0.5688970880582568
3921,7,7.248951,6.476926,6.292758,0.5574408813325937,0.5718601533663153
3922,8,9.320571,6.433545,6.26084,0.5608459699603665,0.5743494573869353
3923,9,8.022172,6.353202,6.196448,0.5671382686819857,0.5793627681015093
3924,10,9.277433,6.353202,6.196448,0.5671382686819857,0.5793627681015093
3925,11,14.83781,6.353093,6.196315,0.5671467929917241,0.5793731110030343
3926,12,8.477732,6.285907,6.138825,0.5723947072221041,0.5838392818990703
3927,13,7.559112,6.227212,6.091822,0.5769690454779739,0.5874839424318559
3928,14,14.919984,6.226939,6.091592,0.5769902989943215,0.5875017618164514
3929,15,9.545161,6.217662,6.084721,0.5777124057654782,0.5880340290329654
3930,1,6.40558,6.40558,5.498664,0.5368030726763083,0.6116862289771803
3931,2,7.052445,6.090122,5.407946,0.5631613715044113,0.6190279415096755
3932,3,12.684282,6.059599,5.394564,0.5656938799446143,0.6201086841470517
3933,4,12.39788,6.039856,5.38638,0.5673303047742437,0.6207693470497532
3934,5,13.836419,6.037729,5.385228,0.567506526215688,0.6208623262576402
3935,6,7.665773,5.906692,5.351257,0.5783338418390964,0.6236022421055717
3936,7,8.826132,5.85206,5.332365,0.5828311476306053,0.6251243606227211
3937,8,11.524888,5.843172,5.328793,0.5835618754870091,0.625412025728492
3938,9,12.861913,5.837241,5.325037,0.5840493483649916,0.6257144647139382
3939,10,11.351433,5.835753,5.324665,0.5841716298903941,0.6257444162659629
3940,11,9.826058,5.79626,5.305643,0.5874144382909582,0.6272753781949851
3941,12,6.730628,5.587408,5.145643,0.6044784939249193,0.6401068221525477
3942,13,12.334908,5.586397,5.145149,0.6045607506846387,0.6401463122420443
3943,14,15.000679,5.586034,5.144697,0.60459028420032,0.6401824441905651
3944,15,9.058182,5.55965,5.131175,0.6067357282292783,0.6412630627836211
3945,1,7.345474,7.345474,4.399436,0.49770508915182465,0.7195178925990412
3946,2,12.697936,7.217054,4.391331,0.5078576330307435,0.7200970616064228
3947,3,6.942046,6.342205,4.266635,0.5758052820384436,0.7289859617871272
3948,4,7.591339,6.181827,4.227011,0.5880384709485419,0.7318020017509088
3949,5,10.378792,6.140633,4.217877,0.5911697307590407,0.7324505605125213
3950,6,9.381781,5.84908,4.155775,0.6132049585952429,0.7368542743114629
3951,7,11.500343,5.841279,4.153624,0.613791518493923,0.7370066213547358
3952,8,6.836484,5.685906,4.102551,0.6254413328044828,0.7406203277328883
3953,9,6.783706,5.653014,4.093493,0.6278995820684721,0.7412605111912021
3954,10,7.777322,5.613522,4.079294,0.6308474176333118,0.742263601813036
3955,11,7.051899,5.586672,4.069113,0.6328493152019623,0.742982510500669
3956,12,6.025538,5.576932,4.064535,0.6335750576697167,0.7433056859947865
3957,13,8.439992,5.562456,4.058769,0.6346532364716643,0.7437126468580352
3958,14,7.383574,5.547224,4.053381,0.6357871412738793,0.7440928487661712
3959,15,7.160994,5.511696,4.039769,0.638429611104691,0.745053029498915
3960,1,6.923743,6.923743,6.056182,0.49262199207765184,0.5658661866198793
3961,2,11.064431,7.192933,6.00564,0.46934715510893876,0.5700535441260337
3962,3,6.629614,6.157985,5.726179,0.55740589103372,0.5930535546697911
3963,4,8.668647,6.06384,5.663219,0.5652309827670803,0.5981997665340756
3964,5,10.168841,6.02359,5.63744,0.5685673812159776,0.6003031476984653
3965,6,9.566702,5.98436,5.612811,0.5718140201750185,0.6023106727857658
3966,7,12.27689,5.980024,5.609677,0.5721725485959638,0.6025659853284409
3967,8,10.747574,5.964745,5.597056,0.5734354157650641,0.6035938363474092
3968,9,12.117355,5.964302,5.596619,0.5734720198002976,0.603629416228667
3969,10,11.994335,5.957083,5.591513,0.5740684165798948,0.6040450930024985
3970,11,5.145637,5.952309,5.589493,0.5744627247856904,0.6042095167223167
3971,12,6.756818,5.752225,5.45914,0.590920816293737,0.6147919639474667
3972,13,11.448075,5.742905,5.451502,0.5916842263924292,0.615410332333127
3973,14,11.553639,5.73715,5.446627,0.5921554816474331,0.6158049111058401
3974,15,8.334463,5.715278,5.433495,0.5939455069331189,0.6168674230041326
3975,1,9.629503,9.629503,6.964285,0.3209134422587659,0.535457309452214
3976,2,10.703893,9.622405,6.96261,0.3215166317602339,0.5355856403666979
3977,3,7.030711,7.244978,6.675736,0.513847693006071,0.5574574557527286
3978,4,7.689171,6.96947,6.576924,0.5350600118358726,0.5649421820540261
3979,5,7.198519,6.652199,6.425123,0.559242573015404,0.5763924370763084
3980,6,14.251134,6.642389,6.417481,0.559986175801004,0.5769673311656593
3981,7,8.078575,6.599551,6.398497,0.5632304449301097,0.5783948281464335
3982,8,12.547615,6.577142,6.384544,0.564925696513072,0.579443442879028
3983,9,8.042903,6.497921,6.340989,0.5709085959068272,0.5827136037637324
3984,10,7.821372,6.468816,6.322622,0.5731026661904892,0.5840911943401191
3985,11,8.427384,6.380513,6.264028,0.5797462950063099,0.5884803124930068
3986,12,10.082969,6.3655,6.258691,0.5808738743879232,0.5888796664663988
3987,13,9.312387,6.336026,6.238555,0.5830859297965559,0.5903857515302847
3988,14,8.478652,6.320512,6.228849,0.5842493977763135,0.591111356828986
3989,15,7.499776,6.263176,6.191728,0.5885440702296897,0.59388429879089
3990,1,8.161333,8.161333,6.18056,0.4495235927666201,0.5999615231332827
3991,2,9.925965,7.748868,6.069797,0.48168749395371935,0.6080867891997184
3992,3,14.278667,7.56373,5.964019,0.49597476668703266,0.6158191454347425
3993,4,9.52921,7.148158,5.819346,0.527719345534015,0.6263518003840853
3994,5,8.347493,6.385209,5.588943,0.5848719462203615,0.6430238510842906
3995,6,9.980227,6.307317,5.546598,0.5906270588189468,0.6460743452193424
3996,7,9.113407,6.208653,5.490973,0.5978960499197666,0.6500751044210704
3997,8,13.513234,6.199416,5.484972,0.5985753869833713,0.6505062837451283
3998,9,11.855678,6.15627,5.454369,0.6017458716694013,0.6527038294227191
3999,10,9.292382,6.05808,5.397794,0.6089446084410696,0.6567605744577896
4000,11,8.888732,6.057288,5.397214,0.6090025801845083,0.6568021247127519
4001,12,10.469442,5.960521,5.340028,0.6160743953894784,0.6608949500000074
4002,13,8.4073,5.921151,5.31866,0.618945235441725,0.6624222914448037
4003,14,9.579703,5.858825,5.279518,0.6234825144592203,0.6652172952082209
4004,15,10.639633,5.840492,5.265636,0.6248153927246326,0.6662076976228788
4005,1,8.765522,8.765522,6.865821,0.4028167666296368,0.549942436326638
4006,2,14.162643,8.727203,6.85764,0.40588458131272853,0.5505556832349904
4007,3,10.026608,8.315226,6.743986,0.43858917712593803,0.5590582191475998
4008,4,14.878649,8.310133,6.740928,0.43899037459444523,0.5592865544236983
4009,5,10.357115,8.086969,6.663235,0.45649780794908895,0.5650801181364534
4010,6,14.845812,8.085448,6.662604,0.4566166530108582,0.565127111765743
4011,7,12.782232,8.018695,6.628859,0.4618261724240163,0.5676388599949495
4012,8,11.838196,7.88784,6.57008,0.47200287302706856,0.5720073909846854
4013,9,14.504719,7.845007,6.545347,0.4753239340554916,0.5738430865466794
4014,10,12.491569,7.770966,6.516452,0.4810530840463528,0.5759858213787615
4015,11,10.662736,7.606743,6.444358,0.4937083379613979,0.5813232664774638
4016,12,11.911077,7.555977,6.418272,0.497606085255603,0.5832514593804725
4017,13,14.629093,7.542012,6.408704,0.49867712073080017,0.5839582866048092
4018,14,10.013507,7.519821,6.396903,0.500377999933536,0.5848297729468955
4019,15,9.464095,7.331195,6.329177,0.5147843390642362,0.5898248022070995
4020,1,11.678384,11.678384,6.940433,0.07172037368311067,0.5122282009312523
4021,2,14.836403,11.631763,6.933458,0.07717740697304964,0.5127975040047476
4022,3,14.520039,11.620077,6.93157,0.07853412024292611,0.5129515772672341
4023,4,13.724112,11.58848,6.928245,0.08218150776286141,0.5132228920206614
4024,5,14.981113,11.586658,6.927792,0.08239092640239476,0.5132598534212941
4025,6,8.57957,8.145099,6.584357,0.4114893597470416,0.5410984738028544
4026,7,14.209676,8.119958,6.58178,0.41364372424549906,0.5413059966874921
4027,8,14.79306,8.116332,6.58015,0.4139542456788315,0.5414372483345424
4028,9,11.83032,8.019691,6.54561,0.42221235010382263,0.5442166017989847
4029,10,7.415201,7.983059,6.53865,0.4253336194210305,0.5447762196640973
4030,11,14.027336,7.983059,6.53865,0.4253336194210305,0.5447762196640973
4031,12,11.984204,7.925525,6.511704,0.4302260110053554,0.5469414290835617
4032,13,8.458421,7.420619,6.306867,0.47266103509763396,0.5633295673351422
4033,14,12.650904,7.403356,6.297729,0.474096528839676,0.5640577430952078
4034,15,15.210112,7.40209,6.296899,0.47420176325083047,0.5641238706606061
4035,1,9.38118,9.38118,6.51808,0.29495895848301396,0.5422011944014982
4036,2,6.97685,6.78724,6.084774,0.5202201867423866,0.5771147959950609
4037,3,6.926678,6.379967,5.874711,0.5533922048617232,0.5938356414444956
4038,4,7.29803,6.330506,5.850617,0.5573856008258069,0.5957450667808617
4039,5,9.287248,6.281943,5.825002,0.5612991886831608,0.5977731342723122
4040,6,12.185049,6.276919,5.821753,0.5617036499853179,0.5980302343419756
4041,7,8.573611,6.267987,5.818395,0.5624225375804589,0.5982959268234019
4042,8,12.920591,6.245808,5.808298,0.5642065498477185,0.5990946221657848
4043,9,6.645731,6.244845,5.807951,0.5642839766794728,0.5991220652588743
4044,10,6.755514,6.24058,5.806715,0.5646268559097003,0.5992198135424619
4045,11,6.812121,6.234695,5.802486,0.5650998819221685,0.5995542270187809
4046,12,8.197011,6.186245,5.774804,0.5689902010417517,0.6017419043154812
4047,13,7.045126,6.051142,5.68566,0.5798007836920543,0.6087714199388609
4048,14,12.938019,6.050037,5.684801,0.5798889756458138,0.6088390426311486
4049,15,7.567933,6.040744,5.678797,0.5806305205602517,0.6093116320921288
4050,1,7.532305,7.532305,6.631959,0.48361222600295667,0.5541681369637511
4051,2,8.948521,7.359389,6.583123,0.49733950023940227,0.5579316081027701
4052,3,7.879246,7.007798,6.468706,0.5249890967732922,0.5667240755429356
4053,4,7.266696,6.777632,6.352729,0.5429040245481532,0.5756010109137426
4054,5,7.592431,6.769084,6.347844,0.5435665766776278,0.5759741324168668
4055,6,13.707059,6.761531,6.344743,0.544151842169737,0.5762109575129746
4056,7,7.433873,6.74954,6.338856,0.5450806816778515,0.5766604813723164
4057,8,7.687637,6.580744,6.242938,0.5581147792318231,0.583971836673684
4058,9,7.384536,6.518209,6.205837,0.5629242506055534,0.5867933984097049
4059,10,14.072322,6.513892,6.20285,0.5632558803381331,0.5870204057478571
4060,11,6.762674,6.507806,6.199406,0.5637233196061109,0.5872821154494295
4061,12,12.995633,6.502447,6.196214,0.5641348396740259,0.5875246480034272
4062,13,14.061671,6.501263,6.195576,0.5642257492879631,0.5875731209315507
4063,14,13.831922,6.496404,6.192732,0.5645987929121248,0.5877891848188747
4064,15,10.914173,6.486318,6.186191,0.5653729328151598,0.5882860364435978
4065,1,7.576503,7.576503,6.618079,0.47271625782476795,0.5491473617365937
4066,2,13.212202,7.559566,6.60994,0.4740906946632672,0.5497850700370626
4067,3,13.912304,7.543237,6.604935,0.47541495327452277,0.5501771304558466
4068,4,10.758345,7.436414,6.578141,0.48405794773526195,0.5522748122167174
4069,5,14.169908,7.366608,6.541791,0.4896871373753008,0.5551174181875825
4070,6,14.662082,7.30289,6.493246,0.4948125561455319,0.5589079412984392
4071,7,9.609864,7.213088,6.466834,0.5020155356894226,0.5609675087001291
4072,8,13.825277,7.20361,6.462827,0.5027743636952959,0.5612797993120818
4073,9,7.609281,6.78347,6.247987,0.5361482128581653,0.5779587369939378
4074,10,11.314389,6.763467,6.236901,0.5377244891921861,0.5788159498181703
4075,11,7.67898,6.5832,6.13982,0.5518789008024839,0.5863082980450697
4076,12,7.321887,6.529121,6.1061,0.556107358352135,0.5889046760728069
4077,13,7.662642,6.440709,6.058273,0.5630027928032564,0.5925819728977919
4078,14,13.36938,6.435978,6.054444,0.5633711620630916,0.592876106882402
4079,15,13.063502,6.435762,6.05434,0.563387978965043,0.5928840953423248
4080,1,10.203616,10.203616,5.046131,0.23033044508928313,0.6631920373164603
4081,2,13.218926,9.93905,5.000222,0.25527981139049966,0.6666609844602115
4082,3,13.739368,9.768077,4.979385,0.2711688618442137,0.6682335141370805
4083,4,14.355252,9.765945,4.979228,0.27136590656687,0.6682453580311523
4084,5,7.808203,7.230249,4.786635,0.49120531053436234,0.6827224686066309
4085,6,9.047382,6.875695,4.737597,0.5200821788707567,0.6863920568389319
4086,7,9.690987,6.775132,4.708885,0.5282019318388559,0.6885374937365337
4087,8,8.292104,6.530883,4.640553,0.5477962626541116,0.6936341488674904
4088,9,13.785241,6.53073,4.640553,0.5478084809009469,0.6936341488674904
4089,10,12.298688,6.488938,4.633243,0.5511433022482811,0.6941786018165064
4090,11,7.665628,5.825072,4.397209,0.6034343276202266,0.711677781123881
4091,12,8.21925,5.571883,4.370284,0.6230451800971261,0.7136639737681296
4092,13,7.878386,5.410672,4.306705,0.635437703955957,0.7183458989751103
4093,14,8.365806,5.281416,4.267229,0.6453211457865053,0.7212471226504769
4094,15,13.166282,5.272862,4.262284,0.6459735693992246,0.7216102353140209
4095,1,6.729513,6.729513,5.986124,0.5464576801496995,0.6032813827804138
4096,2,6.667787,6.604574,5.943569,0.5561102787823641,0.6064904277482879
4097,3,7.382921,6.376671,5.842383,0.5736102988457404,0.614102000873134
4098,4,6.376444,6.36417,5.83763,0.5745662318021,0.6144588888663547
4099,5,10.442125,6.308959,5.808652,0.5787832093231858,0.6166334974083111
4100,6,6.778306,6.13435,5.706338,0.5920670752966932,0.6242942058209019
4101,7,7.167334,6.129914,5.703707,0.5924035184204877,0.6244908457340766
4102,8,10.253304,6.121535,5.698675,0.5930388737636199,0.6248668859367891
4103,9,7.317609,6.05899,5.663109,0.5977757068060927,0.6275228715002659
4104,10,7.084937,6.009192,5.629646,0.6015398795141617,0.6300188465099235
4105,11,9.276933,6.007799,5.629063,0.6016450822511573,0.6300623065025929
4106,12,9.076724,5.958907,5.598643,0.6053343393693039,0.6323287700293829
4107,13,7.885123,5.938578,5.58412,0.6068664887882603,0.6334099800185758
4108,14,7.951597,5.922517,5.573465,0.6080762132107215,0.6342028810583196
4109,15,7.067561,5.914528,5.568848,0.6086777012940562,0.6345463688027098
4110,1,6.708461,6.708461,6.010154,0.5164180995413147,0.5742783282472385
4111,2,7.286298,6.623468,5.994613,0.523547471784974,0.5755478380408783
4112,3,11.532206,6.547233,5.972015,0.5299213294801417,0.5773924327721783
4113,4,7.461183,6.380806,5.917239,0.5437681264842277,0.5818568033713232
4114,5,7.800502,6.259146,5.870543,0.5538320950118759,0.5856550527434637
4115,6,7.788207,6.216949,5.849791,0.5573113501350714,0.5873407847992649
4116,7,7.480003,6.196678,5.840194,0.5589806767209321,0.5881199067010057
4117,8,6.592956,6.050311,5.762268,0.5709943894677365,0.5944353964374028
4118,9,6.851922,5.856539,5.63652,0.5867927800994752,0.6045860317774094
4119,10,7.341139,5.803588,5.603843,0.5910890326412682,0.6072156177097099
4120,11,6.534121,5.782894,5.591525,0.592765645589987,0.608206000560322
4121,12,9.427844,5.764326,5.580623,0.5942688543507975,0.6090821372067257
4122,13,6.101165,5.750646,5.575576,0.5953756459267078,0.6094876116610546
4123,14,6.848683,5.639367,5.490492,0.604356768523561,0.6163111996719591
4124,15,11.082934,5.630809,5.48508,0.6050458502653892,0.6167444650025629
4125,1,7.373856,7.373856,5.824211,0.46516925536508313,0.5933034896383305
4126,2,6.856819,6.475335,5.622977,0.5404208180482462,0.6093801422001999
4127,3,10.496838,6.402345,5.597503,0.5464157602767069,0.611406424581692
4128,4,6.580596,6.050784,5.475381,0.5750529186303835,0.6210929266573902
4129,5,7.402004,5.885918,5.398181,0.588348733505724,0.6271929098812626
4130,6,6.520274,5.850781,5.381644,0.5911714966867625,0.6284972361784911
4131,7,6.568162,5.822034,5.364721,0.5934780768911537,0.6298311499918623
4132,8,12.026541,5.813262,5.36117,0.5941814103864633,0.6301109387583452
4133,9,7.221374,5.805457,5.356674,0.5948070110135965,0.6304651307723526
